ID,Herbal Image,Herbal Name,Scientific Name,Symptoms,Preparation,Precautions,Botany
603,,Helicopter Flower,Helicteres isora,"Traditionally used for diarrhea, stomachache, digestive problems, inflammation, fever, cough, and intestinal disorders.","Fruits, bark, or roots are prepared as a decoction, herbal tea, powder, or traditional extract.",Use with caution. Excessive use may cause digestive discomfort. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Hiptage benghalensis is a perennial, woody, much-branched, evergreen, vine-like shrub that can reach a height of 10-15 m. Young branches are gray and tomentose. The leaves are simple, entire, opposite, oblong to ovate-lanceolate, 8-21 cm long and 4-9 cm wide, acute or acuminate, glabrous, a red-varnished color when young and have petioles about 1 cm long. The highly fragrant, pink to white flowers have a yellow throat, are strongly zygomorphic, 2-3 cm in diameter, borne in erect, pubescent, axillary racemes of 10-20 cm length, the pedicels being 15-20 mm long. The corolla has five free, elliptic to round, pubescent, reflexed petals 1-1.7 cm long, fringed on the margins. Fruits are samaras with three spreading, papery, oblanceolate to elliptic wings, the middle wing being 4-6 cm long and the two lateral wings 2-3 cm long. Dry fruits are propelled by wind to places where the seeds are released."
604,,Helmet Flower,Aconitum napellus,"Historically used in traditional medicine for pain, inflammation, fever, and nerve-related conditions, but it is not considered safe for self-medication.",Roots and other plant parts were traditionally processed into extracts in some medical systems. Improper preparation can leave toxic compounds active.,"Use with extreme caution. All parts contain highly toxic aconitine, which can cause numbness, vomiting, dangerous heart rhythms, paralysis, and death. Do not use internally without expert medical supervision.","Sidit is a perennial, slender, slightly branched herb, often prostrate below. Leaves are ovate, 1 to 4 centimeters long, and 1 to 2.7 centimeters wide, with a blunt tip and rounded or somewhat heart-shaped base, and with hairs on both surfaces. Flowers are pale blue, borne in terminal racemes, and 2 to 5 centimeters long. Calyx is slightly hairy, with rounded lips, and about 2.2 centimeters long, enlarged upward, slightly curved, and slightly ciliate on the outside. Nutlets are about 1.6 millimeters long."
605,,Helmet Flower,Aconitum napellus,"Historically used in traditional medicine for pain, inflammation, fever, and nerve-related conditions, but it is not considered safe for self-medication.",Roots and other plant parts were traditionally processed into extracts in some medical systems. Improper preparation can leave toxic compounds active.,"Use with extreme caution. All parts contain highly toxic aconitine, which can cause numbness, vomiting, dangerous heart rhythms, paralysis, and poisoning. Do not use internally without expert medical supervision.","Sidit is a perennial, slender, slightly branched herb, often prostrate below. Leaves are ovate, 1 to 4 centimeters long, and 1 to 2.7 centimeters wide, with a blunt tip and rounded or somewhat heart-shaped base, and with hairs on both surfaces. Flowers are pale blue, borne in terminal racemes, and 2 to 5 centimeters long. Calyx is slightly hairy, with rounded lips, and about 2.2 centimeters long, enlarged upward, slightly curved, and slightly ciliate on the outside. Nutlets are about 1.6 millimeters long."
606,,Hen's Eyes,Adiantum philippense,"Traditionally used for cough, fever, respiratory discomfort, inflammation, wounds, and urinary problems.","Fronds and whole plant parts are prepared as a decoction, herbal tea, or traditional infusion. Crushed plant material may also be applied externally.",Use with caution. Medicinal information is limited. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Coral berry is an evergreen glabrous shrub with many branches, growing to a height of 1.5 meters. Leaves are alternate, simple, dark green, leathery, elliptic lanceolate or oblanceolate with crenate or undulate margins. Flowers are small, white or pink. Fruit is a drupe, coral red and single-seeded."
607,,China Rose,Hibiscus rosa-sinensis,"Traditionally used for cough, sore throat, fever, inflammation, skin irritation, wounds, digestive problems, and hair care.","Flowers and leaves are prepared as a herbal tea, infusion, decoction, or crushed into a paste for external application.","Generally considered safe when used traditionally. May cause allergic reactions in some individuals. Consult a healthcare professional before medicinal use during pregnancy, breastfeeding, or while taking medications.","Gumamela is an erect, much-branched, glabrous shrub, 1 to 4 meters high. Leaves are glossy green, ovate, acuminate, pointed, coarsely-toothed, 7 to 12 centimeters long, alternate, stipulate. Flowers are solitary, axillary, very large, about 10 centimeters long, and 12 centimeters in diameter. Outermost series of bracteoles are 6, lanceolate, green, and 8 millimeters long or less. Calyx is green, about 2 centimeters long, with ovate lobes. Petals are red, orange or rose-white, obovate, entire, rounded tip, and imbricate. Stamens form a long staminal tube enclosing the entire style of the pistil and protruding out of the corolla. Ovary is 5-celled, styles are 5, fused below. Fruits are capsules, loculicidally 5-valved, but rarely formed in cultivation."
608,,Hickory Wattle / Brown Salwood,Acacia mangium,"Traditionally used for wounds, skin infections, inflammation, fever, diarrhea, and digestive problems.","Bark, leaves, or seeds are prepared as a decoction, herbal tea, or extract. Crushed bark may also be applied externally to wounds and skin conditions.",Use with caution. Ensure proper plant identification. Avoid excessive internal use due to limited safety information and consult a healthcare professional before prolonged medicinal use.,"Acacia mangium is a single-stemmed evergreen tree or shrub growing to a height of 25-35 meters. often with a straight trunk. Young trees have smooth, greenish bark, fissures developing at 2-3 years age. In older trees, bark is rough, hard, fissured near the base, grayish-brown to dark brown; inner back is pale brown. Bole of older trees are branchless up to 15 meters. Inflorescence is composed of many tiny white flowers in spikes. Flowers are quinquefloral. Calyx is 0.6-0.8 mm long, with obtuse lobes, and corolla 1.2-1.5 mm long. Pods are broad, linear, and irregularly coiled when ripe, membranous or slightly woody, inconspicuously veined, 3-5 millimeters wide and 7-10 centimeters long. Seeds are black and shiny, longitudinal, elliptical, ovate to oblong, 3-5 millimeters by 2-3 millimeters, longitudinally arranged and attached to to pods by an orange or red utricle"
609,,Nilghiri Nettle / Stinging Nettle / Allo,Urtica dioica,"Traditionally used for joint pain, inflammation, allergies, urinary problems, anemia support, skin conditions, and general wellness support.","Leaves and roots are dried and prepared as a herbal tea, decoction, extract, or used in topical preparations. Young leaves may be cooked as food after proper preparation to remove the sting.","Use with caution. Fresh leaves can cause skin irritation due to stinging hairs. May interact with diuretics, blood pressure medicines, or blood-thinning drugs. Consult a healthcare professional before medicinal use.","A shade tolerant, tall, stout and erect herb growing to 1.5 to 3 meters height with perennial rootstock. The plant grows as a clump, and each clump has many stems. The stem contains bast fiber of unique quality which is strong, smooth and light."
610,,Hog Creeper / Climbing Brachypterum,Brachypterum scandens,"Traditionally used for wounds, inflammation, skin irritation, fever, and digestive problems (limited traditional use).","Leaves and stems are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and avoid excessive internal use. Consult a healthcare professional before prolonged medicinal use.,"Large climbing shrub; branchlets brown, lenticellate. Leaflets 5-11, 2-5 x 1-2.5 cm, elliptic, lanceolate or ovate-oblong, base rounded to cuneate, apex obtuse, acute, sometimes emarginate, subcoriaceous; lateral nerves 7-9 pairs, slender. Racemes axillary, 8-25 cm long, with flowers clustered on brown-pubescent rachis. Flowers 7-9 mm long; pedicels c. 4 mm long, slender. Calyx 2.5-3 mm long, shortly adpressed tomentose, lobes obscure. Petals pink or white; standard 7-8 mm long; ovate-orbicular. Stamens 10, alternate ones short. Pods 2.5-6.5 x 1-1.4 cm, oblong, narrowly winged on the upper suture, minutely adpressed tomentose, 2-4-seeded. Seeds c. 8 mm long, reniform, compressed, dark brown."
611,,Spreading Hog Weed,Boerhavia diffusa,"Traditionally used for inflammation, fever, urinary problems, digestive disorders, cough, wounds, and general wellness support.","Roots, leaves, or the whole plant are prepared as a decoction, herbal tea, powder, or traditional extract.",Use with caution. May have diuretic effects and could interact with certain medications. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Paanbalibis is a diffusely spreading, laxly branched, smooth or somewhat hairy herb, with the branches sometimes attaining a length of 2 meters. Leaves are scattered, ovate, elliptic, or oblong, 1 to 4 centimeters long, sometimes wavy, pale beneath, with rounded or pointed apex, and usually rounded base. Cymes are very lax and panicled with slender branches. Flowers are minute. usually fascicled or subumbellate on the ultimate branchlets, pink, and about 1.5 millimeters long. Fruit is glandular, narrowly oblong-obovoid, about 3 millimeters long."
612,,Holly-Leaved Acanthus / Sea Holly,Acanthus ilicifolius,"Traditionally used for wounds, skin infections, inflammation, fever, cough, asthma, digestive problems, and rheumatic pain.","Leaves, roots, or whole plant parts are prepared as a decoction, herbal tea, or crushed into a paste for external application.","Use with caution. Ensure proper plant identification, especially among coastal plants. Avoid excessive internal use due to limited safety information and consult a healthcare professional before prolonged medicinal use.","Diluario is an erect or ascending, slightly branched, smooth shrub, 0.5 to 1.5 meters high. Stems are cylindrical and greenish, with a pair of short, sharp spines at the base of each petiole. Leaves are rigid, coriaceous, green and shining, oblong to oblong-lanceolate, 9 to 14 centimeters long, sinuate-toothed in the margins with spinous teeth. Leaf stalks are 1 centimeter long or less. Flowers are about 4 centimeters long, each subtended by an ovate, green, closely appressed bracts 7 to 8 millimeters long, and by two similar but smaller bracteoles, borne in terminal, solitary, dense, or interrupted spikes. Calyx is green, 10 to 12 millimeters long. Corolla tube is 1 centimeter long, the lower lip, pale-blue, spreading or recurved, about 3 centimeters long, 2.5 cm wide, and pubescent within. Capsule is brown, shining, and 2 to 2.5 centimeters long. Seeds are 6 to 10 millimeters long, with white testa."
